dimension,variable,indicator_name,unit_or_scale,n,missing_count,mean,std,min,q25,median,q75,max,range,cv,max_median_ratio,max_city,iqr,upper_outlier_threshold,upper_outlier_cities,shapiro_p,skewness_appendix_only,kurtosis_appendix_only,imputation_note,analysis_note
创新供给能力,valid_invention_patents_count,有效发明专利,个/所/家,13,0,48807.92307692308,52312.75593877899,6004.0,19563.0,25725.0,54692.0,160000.0,153996.0,1.0718086868054633,6.219630709426628,苏州市,35129.0,107385.5,南京市、苏州市,0.0013947895192339152,1.6637021081801142,1.7481754906340279,2024有效发明专利存量,城市差异较高；最大值/中位数较高；存在头部效应：南京市、苏州市
创新供给能力,patents_per_10000_people_supplement,万人专利,每万人,13,0,62.51307692307692,45.89320690193255,12.06,30.83,42.65,84.8,167.01,154.95,0.7341377062339242,3.915826494724502,南京市,53.97,165.755,南京市,0.11832393029217747,1.0619575288021879,0.7065796367606745,2024万人有效发明专利代理/补充指标,城市差异较高；最大值/中位数较高；存在头部效应：南京市
创新供给能力,regular_higher_education_institutions_2024,高校数,个/所/家,13,0,13.23076923076923,13.179237750807431,4.0,7.0,9.0,12.0,53.0,49.0,0.9961051788400966,5.888888888888889,南京市,5.0,19.5,南京市、苏州市,0.00012371038663069918,2.693392464853345,7.707602425809595,2024普通高等学校数,城市差异较高；最大值/中位数较高；存在头部效应：南京市、苏州市
创新供给能力,regular_higher_education_fulltime_teachers_2024,高校教师,原始量纲,13,0,10515.538461538461,13430.914815053766,2044.0,5266.0,7149.0,8885.0,53509.0,51465.0,1.277244609410974,7.4848230521751296,南京市,3619.0,14313.5,南京市、苏州市,2.793138770041953e-05,3.1613905176287167,10.610958522722616,2024普通高校专任教师数,城市差异较高；最大值/中位数较高；存在头部效应：南京市、苏州市
创新供给能力,postgraduate_enrollment_2024,研究生在校,原始量纲,13,0,25890.153846153848,59013.813826151694,0.0,1568.0,6496.0,20434.0,219944.0,219944.0,2.2793921649453073,33.858374384236456,南京市,18866.0,48733.0,南京市,4.073871040001696e-06,3.4561682029734753,12.21855027389923,真零/待核验城市数=2,城市差异较高；最大值/中位数较高；存在头部效应：南京市
创新供给能力,postgraduate_entrants_2024,研究生招生,原始量纲,13,0,8370.692307692309,18807.28814575445,0.0,626.0,2225.0,6595.0,70170.0,70170.0,2.2468019913324677,31.537078651685395,南京市,5969.0,15548.5,南京市,4.383332318287936e-06,3.4476717781783663,12.17320212720364,真零/待核验城市数=2,城市差异较高；最大值/中位数较高；存在头部效应：南京市
产业承载能力,gdp_亿元,GDP,亿元,13,0,10560.886153846155,6512.656912684892,4663.13,5540.01,7809.64,12421.9,26727.0,22063.87,0.6166771251778957,3.422308838819715,苏州市,6881.889999999999,22744.735,苏州市,0.021387870187259055,1.4868749235310874,1.9945950438783888,2024 GDP,城市差异较高；最大值/中位数较高；存在头部效应：苏州市
产业承载能力,per_capita_disposable_income_元,居民收入,元,13,0,54154.769230769234,14706.275498087236,34657.0,41324.0,51944.0,65665.0,77524.0,42867.0,0.27156011754790266,1.4924534113660866,苏州市,24341.0,102176.5,,0.3127025993364563,0.36988854820952083,-1.2534063364629517,2024居民人均可支配收入,城市差异较低
产业承载能力,industrial_added_value_亿元,工业增加值,亿元,13,0,4252.226923076923,2817.6707147227853,2036.83,2543.44,3487.84,5139.4,12516.7,10479.87,0.6626341363465877,3.588668058167806,苏州市,2595.9599999999996,9033.34,苏州市,0.0010704497694086692,2.3496006894567634,6.485605927265409,同年中位数填补：无锡市；填补标记城市数=1,城市差异较高；最大值/中位数较高；存在头部效应：苏州市
产业承载能力,secondary_industry_share_pct,二产占比,%,13,0,43.326923076923066,5.037882135407338,31.5,38.8,45.9,47.3,47.5,16.0,0.11627601910394215,1.0348583877995643,常州市,8.5,60.05,,0.009961356004719039,-1.218807800394594,0.87877534419543,2024第二产业占比,城市差异较低
