variable,valid_invention_patents_count,patents_per_10000_people_supplement,regular_higher_education_institutions_2024,regular_higher_education_fulltime_teachers_2024,postgraduate_enrollment_2024,postgraduate_entrants_2024,gdp_亿元,per_capita_disposable_income_元,industrial_added_value_亿元,secondary_industry_share_pct,tertiary_industry_share_pct,hospitals_2024,health_institutions_total_2024,medical_beds_per_10000_people_2024,licensed_physicians_per_10000_people_2024,registered_nurses_10000_2024
valid_invention_patents_count,1,0.928571429,0.901819629,0.857142857,0.7070158,0.7070158,0.928571429,0.879120879,0.862637363,0.269973476,0.505494505,0.582417582,0.5,0.104395604,0.565934066,0.703296703
patents_per_10000_people_supplement,0.928571429,1,0.910118583,0.868131868,0.797799929,0.797799929,0.873626374,0.93956044,0.791208791,0.283747633,0.5,0.456043956,0.230769231,-0.071428571,0.521978022,0.5
regular_higher_education_institutions_2024,0.901819629,0.910118583,1,0.959912305,0.858738941,0.858738941,0.932249126,0.79669955,0.852025907,0.088766372,0.694345788,0.56156253,0.459208768,0.107886397,0.636253113,0.688813152
regular_higher_education_fulltime_teachers_2024,0.857142857,0.868131868,0.959912305,1,0.92159647,0.92159647,0.835164835,0.730769231,0.763736264,-0.044077302,0.791208791,0.467032967,0.472527473,0.032967033,0.543956044,0.675824176
postgraduate_enrollment_2024,0.7070158,0.797799929,0.858738941,0.92159647,1,1,0.674003389,0.610729601,0.651995115,-0.140689789,0.685007526,0.36313652,0.346630314,-0.118294472,0.36313652,0.464924786
postgraduate_entrants_2024,0.7070158,0.797799929,0.858738941,0.92159647,1,1,0.674003389,0.610729601,0.651995115,-0.140689789,0.685007526,0.36313652,0.346630314,-0.118294472,0.36313652,0.464924786
gdp_亿元,0.928571429,0.873626374,0.932249126,0.835164835,0.674003389,0.674003389,1,0.824175824,0.923076923,0.239670331,0.532967033,0.714285714,0.527472527,0.153846154,0.593406593,0.763736264
per_capita_disposable_income_元,0.879120879,0.93956044,0.79669955,0.730769231,0.610729601,0.610729601,0.824175824,1,0.725274725,0.382921563,0.428571429,0.373626374,0.120879121,-0.071428571,0.593406593,0.423076923
industrial_added_value_亿元,0.862637363,0.791208791,0.852025907,0.763736264,0.651995115,0.651995115,0.923076923,0.725274725,1,0.300276622,0.379120879,0.615384615,0.478021978,0.032967033,0.423076923,0.648351648
secondary_industry_share_pct,0.269973476,0.283747633,0.088766372,-0.044077302,-0.140689789,-0.140689789,0.239670331,0.382921563,0.300276622,1,-0.460056842,-0.066115953,-0.355373249,-0.352618418,-0.132231907,-0.168044715
tertiary_industry_share_pct,0.505494505,0.5,0.694345788,0.791208791,0.685007526,0.685007526,0.532967033,0.428571429,0.379120879,-0.460056842,1,0.351648352,0.450549451,0.291208791,0.604395604,0.626373626
hospitals_2024,0.582417582,0.456043956,0.56156253,0.467032967,0.36313652,0.36313652,0.714285714,0.373626374,0.615384615,-0.066115953,0.351648352,1,0.736263736,0.532967033,0.263736264,0.824175824
health_institutions_total_2024,0.5,0.230769231,0.459208768,0.472527473,0.346630314,0.346630314,0.527472527,0.120879121,0.478021978,-0.355373249,0.450549451,0.736263736,1,0.510989011,0.32967033,0.895604396
medical_beds_per_10000_people_2024,0.104395604,-0.071428571,0.107886397,0.032967033,-0.118294472,-0.118294472,0.153846154,-0.071428571,0.032967033,-0.352618418,0.291208791,0.532967033,0.510989011,1,0.445054945,0.478021978
licensed_physicians_per_10000_people_2024,0.565934066,0.521978022,0.636253113,0.543956044,0.36313652,0.36313652,0.593406593,0.593406593,0.423076923,-0.132231907,0.604395604,0.263736264,0.32967033,0.445054945,1,0.483516484
registered_nurses_10000_2024,0.703296703,0.5,0.688813152,0.675824176,0.464924786,0.464924786,0.763736264,0.423076923,0.648351648,-0.168044715,0.626373626,0.824175824,0.895604396,0.478021978,0.483516484,1
