dimension,variable,indicator_name,shapiro_stat,shapiro_p,normality_flag,transform_note
创新供给能力,valid_invention_patents_count,有效发明专利,0.738768808,0.00139479,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,patents_per_10000_people_supplement,万人专利,0.896125433,0.11832393,未拒绝正态性假设,不强制变换；按模型需要标准化
创新供给能力,regular_higher_education_institutions_2024,高校数,0.631323906,0.00012371,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,regular_higher_education_fulltime_teachers_2024,高校教师,0.555878324,2.79E-05,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,postgraduate_enrollment_2024,研究生在校,0.446406457,4.07E-06,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,postgraduate_entrants_2024,研究生招生,0.450829078,4.38E-06,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
产业承载能力,gdp_亿元,GDP,0.840307896,0.02138787,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
产业承载能力,per_capita_disposable_income_元,居民收入,0.927157166,0.312702599,未拒绝正态性假设,不强制变换；按模型需要标准化
产业承载能力,industrial_added_value_亿元,工业增加值,0.727888953,0.00107045,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
产业承载能力,secondary_industry_share_pct,二产占比,0.813699299,0.009961356,拒绝正态性假设,不强制变换；按模型需要标准化
产业承载能力,tertiary_industry_share_pct,三产占比,0.724880845,0.000995761,拒绝正态性假设,不强制变换；按模型需要标准化
医疗应用与转化基础,hospitals_2024,医院数,0.898202609,0.126345743,未拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
医疗应用与转化基础,health_institutions_total_2024,医疗机构,0.964804203,0.82554717,未拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
医疗应用与转化基础,medical_beds_per_10000_people_2024,万人床位,0.926739268,0.308745027,未拒绝正态性假设,不强制变换；按模型需要标准化
医疗应用与转化基础,licensed_physicians_per_10000_people_2024,万人医师,0.762144094,0.002505039,拒绝正态性假设,不强制变换；按模型需要标准化
医疗应用与转化基础,registered_nurses_10000_2024,注册护士,0.848669905,0.027395425,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
