city,variable,indicator_name,dimension,combined_weight,standardized_value,deviation_degree,weighted_deviation,obstacle_degree,obstacle_rank_in_city
南京市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.997153631,0.002846369,0.000145831,0.001119916,7
南京市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,1,0,0,0,8
南京市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,1,0,0,0,9
南京市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,1,0,0,0,10
南京市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,1,0,0,0,11
南京市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,1,0,0,0,12
南京市,gdp_亿元,GDP,产业承载能力,0.064780719,0.789299489,0.210700511,0.013649331,0.10482091,3
南京市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.945319243,0.054680757,0.003911864,0.030041409,5
南京市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.57924807,0.42075193,0.030803904,0.236560554,2
南京市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0,1,0.072552777,0.557173698,1
南京市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,1,0,0,0,13
南京市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,1,0,0,0,14
南京市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.842848329,0.157151671,0.008912666,0.06844539,4
南京市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,1,0,0,0,15
南京市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,1,0,0,0,16
南京市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.995609613,0.004390387,0.000239353,0.001838124,6
无锡市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.737879448,0.262120552,0.013429462,0.037336394,12
无锡市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0.505259761,0.494740239,0.033361898,0.092752261,4
无锡市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0.461689846,0.538310154,0.025934378,0.072102378,5
