"scenario","城市","首要障碍","障碍度","当前值","中位数","原得分","新得分","Δ得分","原排名","新排名","↑位数"
"提升至全省中位数","南京","二产占比","0.531","0.000","0.900","0.7527","0.8634","+0.1106","1","1","0"
"提升至全省中位数","苏州","万人医师","0.295","0.279","0.248","0.7153","0.7153","0.0000","2","2","—"
"提升至全省中位数","无锡","工业增加值","0.145","0.296","0.296","0.6059","0.6059","0.0000","3","3","—"
"提升至全省中位数","南通","万人医师","0.180","0.011","0.248","0.5242","0.5467","+0.0225","4","4","0"
"提升至全省中位数","徐州","万人医师","0.126","0.255","0.248","0.4874","0.4874","0.0000","5","5","—"
"提升至全省中位数","常州","万人医师","0.139","0.130","0.248","0.4767","0.4869","+0.0103","6","6","0"
"提升至全省中位数","扬州","万人医师","0.116","0.125","0.248","0.3897","0.3986","+0.0089","7","7","0"
"提升至全省中位数","盐城","万人医师","0.100","0.248","0.248","0.3816","0.3816","0.0000","8","8","—"
"提升至全省中位数","镇江","医院数","0.110","0.000","0.604","0.3601","0.3936","+0.0335","9","7","2"
"提升至全省中位数","泰州","万人专利","0.090","0.122","0.197","0.3537","0.3571","+0.0034","10","10","0"
"提升至全省中位数","宿迁","万人医师","0.107","0.000","0.248","0.3182","0.3301","+0.0119","11","11","0"
"提升至全省中位数","淮安","工业增加值","0.103","0.017","0.296","0.3054","0.3204","+0.0151","12","11","1"
"提升至全省中位数","连云港","万人医师","0.109","0.001","0.248","0.2939","0.3072","+0.0133","13","12","1"
