city,top1_obstacle,obstacle_degree,current_minmax,target,target_minmax,base_score,base_rank,new_score,new_rank,score_change,rank_change,note
南京市,二产占比,0.557173698,0,中位数,0.9,0.739276775,1,0.865745424,1,0.126468649,0,
南京市,二产占比,0.557173698,0,前3均值,0.997916667,0.739276775,1,0.868723007,1,0.129446231,0,
南通市,万人医师,0.173631731,0.010981469,中位数,0.248455731,0.541670914,4,0.562673374,4,0.02100246,0,
南通市,万人医师,0.173631731,0.010981469,前3均值,0.568291009,0.541670914,4,0.590522489,4,0.048851575,0,
宿迁市,万人医师,0.10180163,0,中位数,0.248455731,0.33502056,11,0.345673047,11,0.010652487,0,
宿迁市,万人医师,0.10180163,0,前3均值,0.568291009,0.33502056,11,0.36701559,11,0.03199503,0,
常州市,万人医师,0.132474765,0.130404942,中位数,0.248455731,0.48722859,6,0.496434318,6,0.009205728,0,
常州市,万人医师,0.132474765,0.130404942,前3均值,0.568291009,0.48722859,6,0.522642194,5,0.035413604,1,
徐州市,居民收入,0.128033201,0.130496652,中位数,0.403270581,0.500340201,5,0.518154917,5,0.017814716,0,
徐州市,居民收入,0.128033201,0.130496652,前3均值,0.940622546,0.500340201,5,0.551245272,4,0.050905071,1,
扬州市,万人医师,0.110967915,0.124914207,中位数,0.248455731,0.405134127,7,0.413070143,7,0.007936016,0,
扬州市,万人医师,0.110967915,0.124914207,前3均值,0.568291009,0.405134127,7,0.43774452,7,0.032610393,0,
无锡市,工业增加值,0.143252164,0.296202385,中位数,0.296202385,0.619414614,3,0.619414614,3,0,0,已达标
无锡市,工业增加值,0.143252164,0.296202385,前3均值,0.721868115,0.619414614,3,0.654189684,3,0.034775071,0,
泰州市,研究生在校,0.087219668,0,中位数,0.713681899,0.369535773,10,0.398606777,8,0.029071005,2,
泰州市,研究生在校,0.087219668,0,前3均值,0.880321278,0.369535773,10,0.407718392,7,0.03818262,3,
淮安市,医院数,0.10377793,0.036868444,中位数,0.604121338,0.318445404,12,0.359933096,11,0.041487692,1,
淮安市,医院数,0.10377793,0.036868444,前3均值,0.925557778,0.318445404,12,0.392770289,9,0.074324885,3,
盐城市,万人专利,0.095892802,0.12113585,中位数,0.197418522,0.394649908,8,0.398416189,8,0.003766281,0,
盐城市,万人专利,0.095892802,0.12113585,前3均值,0.741056255,0.394649908,8,0.433337207,7,0.038687299,1,
苏州市,万人医师,0.283789852,0.279341112,中位数,0.248455731,0.725122644,2,0.725122644,2,0,0,已达标
苏州市,万人医师,0.283789852,0.279341112,前3均值,0.568291009,0.725122644,2,0.764558718,1,0.039436074,1,
连云港市,万人医师,0.104179984,0.001372684,中位数,0.248455731,0.312763473,13,0.324644674,12,0.011881201,1,
连云港市,万人医师,0.104179984,0.001372684,前3均值,0.568291009,0.312763473,13,0.349945409,11,0.037181936,2,
镇江市,医院数,0.113139069,0,中位数,0.604121338,0.370344523,9,0.404871128,7,0.034526605,2,
镇江市,医院数,0.113139069,0,前3均值,0.925557778,0.370344523,9,0.429837206,7,0.059492683,2,
