维度,指标,均值,标准差,Min,Median,Max,CV,Max/Median
创新供给能力,有效发明专利,"48,808","52,313","6,004","25,725","160,000",1.072,6.22
创新供给能力,万人专利,62.51,45.89,12.06,42.65,167.01,0.734,3.92
创新供给能力,高校数,13.23,13.18,4.00,9.00,53.00,0.996,5.89
创新供给能力,高校教师,"10,516","13,431","2,044","7,149","53,509",1.277,7.48
创新供给能力,研究生在校,"25,890","59,014",0.00,"6,496","219,944",2.279,33.86
创新供给能力,研究生招生,"8,371","18,807",0.00,"2,225","70,170",2.247,31.54
产业承载能力,GDP,"10,561","6,513","4,663","7,810","26,727",0.617,3.42
产业承载能力,居民收入,"54,155","14,706","34,657","51,944","77,524",0.272,1.49
产业承载能力,工业增加值,"4,252","2,818","2,037","3,488","12,517",0.663,3.59
产业承载能力,二产占比,43.33,5.04,31.50,45.90,47.50,0.116,1.03
产业承载能力,三产占比,51.40,5.06,45.99,50.80,66.70,0.099,1.31
医疗应用与转化基础,医院数,173.00,86.29,69.00,173.00,315.00,0.499,1.82
医疗应用与转化基础,医疗机构总数,"3,206","1,065","1,323","3,016","4,906",0.332,1.63
医疗应用与转化基础,万人床位,64.74,5.31,52.55,66.95,71.91,0.082,1.07
医疗应用与转化基础,万人医师,36.79,3.81,33.28,36.90,47.85,0.104,1.30
医疗应用与转化基础,注册护士,2.62,1.38,1.11,2.08,5.28,0.528,2.54
